codigo,latitude,longitude
AV01,40.97792370000001,-4.774983700000006
BU02,42.733896,-4.049108
BU03,42.02543,-3.760016
BU04,42.34895770000001,-3.81592390000003
BU05,41.6399331,-3.5730443999999584
LE01,42.5559174,-6.7326971999999605
LE02,42.5096771,-5.443619899999932
LE03,42.37167279999999,-5.508591300000035
LE04,42.2727284,-5.7367362999999605
LE05,42.20680820000001,-5.849891000000072
LE06,42.4627721,-5.881594299999961
LE07,42.4410687,-5.791224199999987
LE08,42.3709599,-5.029949299999998
LE09,42.43212390000001,-5.371055100000034
P01,42.0573601,-4.294888399999991
P02,41.9481691,-4.5153953999999885
P03,42.08374329999999,-4.783399000000031
P04,42.2460438,-4.595335500000034
P06,42.5953655,-4.332111400000031
SA01,40.5973921,-6.5335182000000005
SG01,41.2888786,-4.324407899999983
SG02,41.154601,-4.491565199999968
SO01,41.4870645,-2.5335988
SO02,41.570535,-3.1993080000000003
SO03,41.8497879,-2.4281391
VA01,42.1662402,-5.264525899999967
VA02,41.2217513,-5.2475517999999965
VA03,41.2851649,-4.7070615999999745
VA05,41.756021,-4.101495
VA06,41.50153529999999,-4.998745900000016
VA07,41.642504,-4.292395
ZA01,42.00372,-5.8096749000000045
ZA02,41.4896888,-5.683927499999983
ZA04,41.8654475,-5.413590999999998
ZA05,41.7853811,-5.8954138000000285
ZA06,41.9326098,-5.662885899999992
