codigo,latitude,longitude,WO_dist,NS_dist,importance_0.5h,importance_1.0h,importance_1.5h,importance_2h,importance_3h,importance_4h,top feature_0.5h,top feature_1h,top feature_1.5h,top feature_2h,top feature_3h,top feature_4h,value_top_0.5h,value_top_1h,value_top_1.5h,value_top_2h,value_top_3h,value_top_4h
AV01,40.97792370000001,-4.774983700000006,40.359565148110214,-132.17622387301267,0.0019545992476172227,0.002803737309527316,0.004780823573646289,0.004751300617914182,0.0097853866635938,0.038138091374279426,0,0,3,3,3,3,0.0006756659934884045,0.0008269608753877712,0.0022807931638081803,0.0019500819650841853,0.006210909970349362,0.033879429241960246
BU02,42.733896,-4.049108,100.20256620064389,63.14028221178062,0.0024318187500689302,0.0029331060223294157,0.003342139535278256,0.00430849167958152,0.004633249189757916,0.005542084860621332,0,0,0,2,0,0,0.0010549424605912888,0.0008905365343286471,0.0010000896456978687,0.0013199295244290272,0.001422391345228413,0.0016585868701910831
BU03,42.02543,-3.7600160000000002,124.03558680260475,-15.662272817059867,0.0017718830809453565,0.0024820751035401706,0.002683050492295277,0.0033238339391093597,0.004195230872665908,0.004405003687375196,0,0,0,0,0,0,0.0006155492417200497,0.0007385124249077747,0.0008757870903083935,0.0011286745816590335,0.0013741869792188713,0.0012256469505870268
BU04,42.34895770000001,-3.81592390000003,119.42651175472895,20.323659299096352,0.0021829059341916947,0.002659607252735912,0.0027746413060313222,0.0033171029342715895,0.003913247906680595,0.0045792748424605375,0,0,0,3,0,3,0.0009679698460967474,0.0007226849345249034,0.0007875716923084474,0.0008764335545837644,0.0012413043574410875,0.0016435929770241286
BU05,41.6399331,-3.5730443999999584,139.4495189164004,-58.541028714587476,0.0020648638761812587,0.0030765532863455437,0.003097423183115108,0.0035326842833990468,0.008478718179007432,0.005759902952334846,0,0,0,0,3,3,0.0008659269103058451,0.0010573975305065175,0.0010083038350875233,0.0010574205586683398,0.005178781362520038,0.0022269625832522007
LE01,42.5559174,-6.7326971999999605,-121.03979956223544,43.34375221534293,0.0027486583230460085,0.005862319291943442,0.012381762160545769,0.0164635643114992,0.05374097985433541,0.05833495050803367,0,3,3,3,3,3,0.0008197652030462888,0.002695803377638514,0.00790714782800197,0.010455166106032804,0.04476005219973022,0.0481278781255325
LE02,42.5096771,-5.443619899999932,-14.76513981776854,38.2004513578568,0.004026321937363957,0.004027547595072192,0.005054757446444198,0.005615525943057189,0.008207451213370657,0.00800479924505704,0,0,0,0,0,0,0.0024650523196039437,0.0018458609675693718,0.0021896822215150217,0.0028504338032077363,0.0037161638516802135,0.0030548166246109343
LE03,42.37167279999999,-5.508591300000035,-20.12161057692388,22.850256083888652,0.03295537242944787,0.07813175318053846,0.07878457035669038,0.027196604024600536,0.013168268990551514,0.010331553439276962,0,0,0,0,0,0,0.03113577106990006,0.07585977202558832,0.07607524878338899,0.024386859130149655,0.01002536923315474,0.005011228082841987
LE04,42.2727284,-5.7367362999999605,-38.93065866514902,11.84468697288647,0.09499312882648085,0.25172857633036066,0.2602022808637919,0.09642234462835916,0.03112462564788544,0.016716364131845823,0,0,0,0,0,0,0.08659768084161762,0.24891953949638881,0.2543864182135036,0.09028587017105051,0.023686865954068916,0.009619573517520782
LE05,42.20680820000001,-5.849891000000072,-48.259492458663274,4.512394120426415,0.00829968715754464,0.008814193944319714,0.013535344344396932,0.020181703828922253,0.02192660556309596,0.015734056893530815,0,0,0,0,0,3,0.005947712468804909,0.005359230928494889,0.0075689984137521284,0.013088284121770719,0.01167425441337331,0.007089710544219677
LE06,42.4627721,-5.881594299999961,-50.87320983891999,32.9832160302227,0.0033403883844381707,0.007380253481990944,0.018105457941596452,0.028536144153356997,0.034820894603324576,0.02572452007809898,0,0,0,0,3,3,0.001489038999818345,0.0040517933912984135,0.014064998320140819,0.019442632177103514,0.017997656100287533,0.013189035705042002
LE07,42.4410687,-5.791224199999987,-43.42281703837906,30.569150467707413,0.003394469644248106,0.0073910775001629365,0.008356094822203272,0.014762300601746207,0.020958502033452273,0.022571982691653558,0,0,0,0,3,3,0.0016521022346376979,0.004679351318004867,0.00382333796934511,0.0074703028257912885,0.012005153863355869,0.01321313512601173
LE08,42.370959899999995,-5.029949299999998,19.339337179135676,22.770960335779602,0.06545258316018168,0.059527802593680255,0.032659171684440644,0.023183306102574287,0.00817878269599339,0.008070718635443626,0,0,0,0,0,0,0.06352432055170289,0.057193985334520005,0.030047105009596852,0.020263283498398184,0.00521988666948901,0.003505829233973602
LE09,42.43212390000001,-5.371055100000034,-8.782639959375032,29.57422185543615,0.014578062214951911,0.012347222872437988,0.006446662453893602,0.005678616973834083,0.006701158246007844,0.006272597874365506,0,0,0,0,0,0,0.012847933077556481,0.010279124664544136,0.003728073688491001,0.0031044621293830404,0.003015340794117782,0.003199845307322242
P01,42.057360100000004,-4.294888399999991,79.9399665431689,-12.110693119055432,0.0031598803898810327,0.0030993580862534063,0.003535489984936305,0.004100906311252379,0.0037964570273276523,0.004206667510797055,0,0,0,0,0,0,0.001966847751135872,0.0014376979656143998,0.0014152573590036654,0.0018594432393656476,0.0013402488312746165,0.00150672612779159
