codigo,latitude,longitude,WO_dist,NS_dist,importance_0.5h,importance_1.0h,importance_1.5h,importance_2h,importance_3h,importance_4h,top feature_0.5h,top feature_1h,top feature_1.5h,top feature_2h,top feature_3h,top feature_4h,value_top_0.5h,value_top_1h,value_top_1.5h,value_top_2h,value_top_3h,value_top_4h
AV01,40.97792370000001,-4.774983700000006,40.359565148110214,-132.17622387301267,0.0,0.0,0.19420518685222263,0.01641959778747728,0.034833425652671945,0.03226397305591712,3,3,3,0,1,0,0.0,0.0,0.19061706980751175,0.0095995093004893,0.018496431030817995,0.02389938602255097
BU02,42.733896,-4.049108,100.20256620064389,63.14028221178062,0.03389699787877993,0.03566705493784691,0.03363210561327936,0.02628545114819593,0.032363080245088556,0.03313073129069582,0,0,0,0,0,0,0.021129392301924992,0.0231314581964958,0.021498213579705085,0.016534324109910653,0.01882314312931947,0.01783013700502365
BU03,42.02543,-3.7600160000000002,124.03558680260475,-15.662272817059867,0.029422141639497294,0.007868438740381716,0.015394750044383497,0.03075128633816229,0.03632089109936457,0.029378564967888203,0,0,0,0,0,0,0.018726639951260986,0.007868438740381716,0.015394750044383497,0.03075128633816229,0.03578817625198834,0.028549436035796905
BU04,42.34895770000001,-3.81592390000003,119.42651175472895,20.323659299096352,0.027241573323100794,0.013514320234676202,0.012957391152009983,0.008123571603613584,0.02348718266391247,0.016502809852447505,0,0,0,0,0,0,0.020437592274556764,0.013514320234676202,0.012957391152009983,0.008123571603613584,0.019756788142937007,0.010803943225210425
BU05,41.6399331,-3.5730443999999584,139.4495189164004,-58.541028714587476,0.0031797228621069412,0.010978680232499035,0.03761608714701429,0.05303239229159572,0.020488062071093657,0.028101876223612307,2,0,0,0,0,0,0.0031797228621069412,0.007973356847404921,0.024872385712632557,0.033396485019701896,0.01854030253829507,0.024910236303773255
LE01,42.5559174,-6.7326971999999605,-121.03979956223544,43.34375221534293,0.02036240311989015,0.05577562123623174,0.07466404189737592,0.11965086390421795,0.1488561443336617,0.11743829021189196,0,0,0,0,0,0,0.02036240311989015,0.04828245408598041,0.06759369489225112,0.08839854985961108,0.11555026118285204,0.09351788434138604
LE02,42.5096771,-5.443619899999932,-14.76513981776854,38.2004513578568,0.018588293707763433,0.018248894283925104,0.037455776445647605,0.04593884115474896,0.025769832364627186,0.02174499725578478,2,2,2,0,0,0,0.011804897826161549,0.013043506353640892,0.020090468100554818,0.02963165722550737,0.02530719132228228,0.02174499725578478
LE03,42.37167279999999,-5.508591300000035,-20.12161057692388,22.850256083888652,0.07155056431427795,0.1093827754946013,0.12169532877486391,0.08512845284337411,0.07943635666237606,0.033733345009917017,0,0,0,0,0,0,0.06401619750855785,0.07777919677417153,0.07440444309089576,0.04770697556240238,0.0400793129780388,0.020279144482598745
LE04,42.2727284,-5.7367362999999605,-38.93065866514902,11.84468697288647,0.09260535428409881,0.11387520904846693,0.1156947270630904,0.12601294979716093,0.07054109032348357,0.06422258434227876,0,0,0,0,0,0,0.07126521321642093,0.11387520904846693,0.10709562237715138,0.10493337351088462,0.05548721761438487,0.036570581666149675
LE05,42.20680820000001,-5.849891000000072,-48.259492458663274,4.512394120426415,0.04027343954763738,0.07357931285851067,0.08466945624740539,0.0757842414088816,0.054840326793055984,0.033506531183767015,0,0,0,0,0,0,0.0381761031727657,0.06881106455271017,0.07491573847674296,0.06793619451061302,0.05221075646495369,0.033506531183767015
