,codigo,latitude,longitude
0,AV01,40.97792370000001,-4.774983700000006
1,AV101,40.6043441,-4.8982345
2,AV102,40.3932256,-5.5393432
3,BU02,42.733896,-4.049108
4,BU03,42.02543,-3.7600160000000002
5,BU04,42.34895770000001,-3.81592390000003
6,BU05,41.6399331,-3.5730443999999584
7,BU07,42.715121999999994,-3.059498
8,BU101,42.993249,-3.238251
9,BU102,42.734138,-2.746604
10,LE01,42.5559174,-6.7326971999999605
11,LE02,42.5096771,-5.443619899999932
12,LE03,42.37167279999999,-5.508591300000035
13,LE04,42.2727284,-5.7367362999999605
14,LE05,42.20680820000001,-5.849891000000072
15,LE06,42.4627721,-5.881594299999961
16,LE07,42.4410687,-5.791224199999987
17,LE08,42.370959899999995,-5.029949299999998
18,LE09,42.43212390000001,-5.371055100000034
19,P01,42.057360100000004,-4.294888399999991
20,P02,41.9481691,-4.5153953999999885
21,P03,42.08374329999999,-4.783399000000031
22,P04,42.246043799999995,-4.595335500000034
23,P06,42.5953655,-4.332111400000031
24,P07,42.5225759,-4.7646283000000285
25,P08,42.340683399999996,-4.2775693999999485
26,SA01,40.5973921,-6.5335182000000005
27,SA03,41.007919799999996,-5.500067700000045
28,SA101,41.0448428,-5.3834854000000405
29,SA102,40.76668520000001,-5.5390425
30,SG01,41.288878600000004,-4.324407899999983
31,SG02,41.154601,-4.491565199999968
32,SO01,41.4870645,-2.5335987999999996
33,SO02,41.570535,-3.1993080000000003
34,SO03,41.849787899999995,-2.4281391
35,SO101,41.7389854,-2.0999528
36,VA01,42.1662402,-5.264525899999967
37,VA02,41.2217513,-5.2475517999999965
38,VA03,41.2851649,-4.707061599999975
39,VA05,41.756021000000004,-4.101495
40,VA06,41.50153529999999,-4.998745900000016
41,VA07,41.642503999999995,-4.292395
42,VA08,41.882304100000006,-5.042955799999959
43,VA101,41.698228,-4.710209099999928
44,VA102,41.308162700000004,-4.915476699999998
45,VA103,41.410874299999996,-4.9597661000000235
46,VA104,41.78133370000001,-5.1930752
47,ZA01,42.00372,-5.8096749000000045
48,ZA02,41.489688799999996,-5.6839274999999825
49,ZA04,41.865447499999995,-5.413590999999998
50,ZA05,41.7853811,-5.8954138000000285
51,ZA06,41.9326098,-5.662885899999992
52,ZA08,41.454032500000004,-5.4149002999999984
